-------------------------
PID Controller Parameters:
Position PID: P: 0.5, I: 0, D: 3
Orientation PID: P: 0.5, I: 0, D: 3
Linear Velocity PID: P: 1, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
[2025-03-26_22-23-02.710] Received Bspline message - pos_pts size: 26, yaw_pts size: 74, order=3
----- Control Points -----
Point[189]: time = 18.9, pos = (5.86986, 0, 0), vel = (0.504023, 0, 0), yaw = 0, yaw_dot = 0
Point[190]: time = 19, pos = (5.92027, 0, 0), vel = (0.504029, 0, 0), yaw = 0, yaw_dot = 0
Point[191]: time = 19.1, pos = (5.97067, 0, 0), vel = (0.504025, 0, 0), yaw = 0, yaw_dot = 0
Point[192]: time = 19.2, pos = (6.02107, 0, 0), vel = (0.504013, 0, 0), yaw = 0, yaw_dot = 0
Point[193]: time = 19.3, pos = (6.07147, 0, 0), vel = (0.503992, 0, 0), yaw = 0, yaw_dot = 0
Point[194]: time = 19.4, pos = (6.12187, 0, 0), vel = (0.503962, 0, 0), yaw = 0, yaw_dot = 0
Point[195]: time = 19.5, pos = (6.17226, 0, 0), vel = (0.503926, 0, 0), yaw = 0, yaw_dot = 0
Point[196]: time = 19.6, pos = (6.22265, 0, 0), vel = (0.503885, 0, 0), yaw = 0, yaw_dot = 0
Point[197]: time = 19.7, pos = (6.27304, 0, 0), vel = (0.503838, 0, 0), yaw = 0, yaw_dot = 0
Point[198]: time = 19.8, pos = (6.32342, 0, 0), vel = (0.503786, 0, 0), yaw = 0, yaw_dot = 0
Point[199]: time = 19.9, pos = (6.3738, 0, 0), vel = (0.503729, 0, 0), yaw = 0, yaw_dot = 0
Point[200]: time = 20, pos = (6.42417, 0, 0), vel = (0.503667, 0, 0), yaw = 0, yaw_dot = 0
Point[201]: time = 20.1, pos = (6.47453, 0, 0), vel = (0.503599, 0, 0), yaw = 0, yaw_dot = 0
Point[202]: time = 20.2, pos = (6.52489, 0, 0), vel = (0.503526, 0, 0), yaw = 0, yaw_dot = 0
Point[203]: time = 20.3, pos = (6.57524, 0, 0), vel = (0.503448, 0, 0), yaw = 0, yaw_dot = 0
Point[204]: time = 20.4, pos = (6.62558, 0, 0), vel = (0.503366, 0, 0), yaw = 0, yaw_dot = 0
Point[205]: time = 20.5, pos = (6.67591, 0, 0), vel = (0.503283, 0, 0), yaw = 0, yaw_dot = 0
Point[206]: time = 20.6, pos = (6.72623, 0, 0), vel = (0.503198, 0, 0), yaw = 0, yaw_dot = 0
Point[207]: time = 20.7, pos = (6.77655, 0, 0), vel = (0.503112, 0, 0), yaw = 0, yaw_dot = 0
Point[208]: time = 20.8, pos = (6.82686, 0, 0), vel = (0.503023, 0, 0), yaw = 0, yaw_dot = 0
Point[209]: time = 20.9, pos = (6.87715, 0, 0), vel = (0.502932, 0, 0), yaw = 0, yaw_dot = 0
Point[210]: time = 21, pos = (6.92744, 0, 0), vel = (0.50284, 0, 0), yaw = 0, yaw_dot = 0
Point[211]: time = 21.1, pos = (6.97772, 0, 0), vel = (0.502745, 0, 0), yaw = 0, yaw_dot = 0
--------------------------
1742998982.709936472 Received IMU Angular Velocity - [-0.000353022, -0.00571955, 0.00503238]
1742998982.714083880 Received IMU Angular Velocity - [0.0049733, -0.00252375, 0.00396711]
1742998982.719906072 Received IMU Angular Velocity - [0.0113649, 0.000672041, 0.00396711]
1742998982.724049960 Received IMU Angular Velocity - [0.00923436, 0.00280257, 0.00503238]
